,Company Name,Industry,Symbol,Series,ISIN Code,Yahoo_Symbol
0,Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042,ADANIPORTS.NS
1,Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026,ASIANPAINT.NS
2,Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034,AXISBANK.NS
3,Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010,BAJAJ-AUTO.NS
4,Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024,BAJFINANCE.NS
5,Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018,BAJAJFINSV.NS
6,Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011,BPCL.NS
7,Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024,BHARTIARTL.NS
8,Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030,BRITANNIA.NS
9,Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026,CIPLA.NS
10,Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014,COALINDIA.NS
11,Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024,DIVISLAB.NS
12,Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023,DRREDDY.NS
13,Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01021,EICHERMOT.NS
14,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021,GRASIM.NS
15,HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027,HCLTECH.NS
16,HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01034,HDFCBANK.NS
17,HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014,HDFCLIFE.NS
18,Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026,HEROMOTOCO.NS
19,Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020,HINDALCO.NS
20,Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027,HINDUNILVR.NS
21,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036,HDFC.NS
22,ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021,ICICIBANK.NS
